date,open,high,low,close,adjclose,volume,ticker
2017-01-03,117.37999725341797,117.80999755859375,115.81999969482422,116.45999908447266,107.06060791015625,2351600,ACN
2017-01-04,116.91000366210938,117.80000305175781,116.43000030517578,116.73999786376953,107.3180160522461,2639800,ACN
2017-01-05,116.9800033569336,117.13999938964844,114.94999694824219,114.98999786376953,105.70926666259766,3685400,ACN
2017-01-06,114.98999786376953,116.73999786376953,114.33999633789062,116.30000305175781,106.91354370117188,4125300,ACN
2017-01-09,116.13999938964844,116.3499984741211,114.91999816894531,115.0,105.71844482421875,2550800,ACN
2017-01-10,114.94000244140625,115.98999786376953,114.63999938964844,115.05999755859375,105.77360534667969,2550100,ACN
2017-01-11,115.4000015258789,116.26000213623047,114.91000366210938,116.12000274658203,106.74806213378906,2845800,ACN
2017-01-12,115.62000274658203,115.97000122070312,114.83999633789062,115.77999877929688,106.43550872802734,2110800,ACN
2017-01-13,115.3499984741211,117.44000244140625,115.3499984741211,116.94999694824219,107.51107025146484,2665600,ACN
2017-01-17,115.91999816894531,116.36000061035156,115.47000122070312,116.02999877929688,106.66532135009766,2374300,ACN
2017-01-18,116.54000091552734,116.94999694824219,115.73999786376953,115.94999694824219,106.59178161621094,2262200,ACN
2017-01-19,115.5999984741211,116.0,115.2699966430664,115.5,106.1781005859375,1647100,ACN
2017-01-20,115.87999725341797,116.25,114.80999755859375,115.06999969482422,105.78279876708984,2781400,ACN
2017-01-23,114.77999877929688,115.2699966430664,114.61000061035156,114.81999969482422,105.55297088623047,2320000,ACN
2017-01-24,115.19999694824219,116.63999938964844,114.83999633789062,116.4800033569336,107.07899475097656,2810100,ACN
2017-01-25,116.9000015258789,118.36000061035156,116.69999694824219,117.56999969482422,108.0810317993164,2905900,ACN
2017-01-26,116.98999786376953,117.44000244140625,115.62000274658203,115.93000030517578,106.5733871459961,2864600,ACN
2017-01-27,116.19999694824219,116.44000244140625,115.06999969482422,115.3499984741211,106.04019165039062,2545100,ACN
2017-01-30,115.31999969482422,115.33000183105469,113.41000366210938,114.62999725341797,105.37831115722656,2529700,ACN
2017-01-31,113.97000122070312,114.0199966430664,112.61000061035156,113.87000274658203,104.6796646118164,2339000,ACN
2017-02-01,113.80000305175781,114.7699966430664,112.30999755859375,113.20999908447266,104.07291412353516,2471600,ACN
2017-02-02,113.1500015258789,113.7699966430664,112.70999908447266,113.63999938964844,104.46820831298828,2450500,ACN
2017-02-03,114.0,114.83000183105469,113.33999633789062,114.48999786376953,105.2496109008789,1663700,ACN
2017-02-06,114.06999969482422,115.22000122070312,113.37999725341797,114.18000030517578,104.96463012695312,2019400,ACN
2017-02-07,114.94999694824219,116.16999816894531,114.94999694824219,115.91999816894531,106.56420135498047,2538200,ACN
2017-02-08,116.1500015258789,116.1500015258789,114.91999816894531,115.43000030517578,106.11375427246094,2373700,ACN
2017-02-09,115.43000030517578,117.45999908447266,115.43000030517578,116.9800033569336,107.53863525390625,2117100,ACN
2017-02-10,116.69999694824219,118.83999633789062,116.5199966430664,117.5999984741211,108.10861206054688,2183000,ACN
2017-02-13,117.9000015258789,118.94999694824219,117.7300033569336,118.58999633789062,109.01869201660156,1988400,ACN
2017-02-14,118.47000122070312,120.0,118.41000366210938,120.0,110.3149185180664,2559400,ACN
2017-02-15,119.61000061035156,120.16999816894531,119.30000305175781,119.93000030517578,110.25055694580078,1951100,ACN
2017-02-16,119.93000030517578,120.98999786376953,119.52999877929688,120.72000122070312,110.97679138183594,1966900,ACN
2017-02-17,120.51000213623047,121.29000091552734,120.0999984741211,121.2300033569336,111.44563293457031,1904900,ACN
2017-02-21,120.62999725341797,122.22000122070312,120.56999969482422,122.0999984741211,112.24541473388672,2117100,ACN
2017-02-22,121.66000366210938,122.87999725341797,121.58000183105469,122.20999908447266,112.34652709960938,1557000,ACN
2017-02-23,122.58999633789062,122.70999908447266,121.7300033569336,122.4800033569336,112.5947494506836,1439600,ACN
2017-02-24,122.0,123.43000030517578,121.5999984741211,123.43000030517578,113.46807098388672,1447700,ACN
2017-02-27,123.01000213623047,123.43000030517578,122.4800033569336,122.79000091552734,112.87971496582031,1679800,ACN
2017-02-28,122.75,123.08999633789062,121.93000030517578,122.5,112.61312866210938,1744900,ACN
2017-03-01,123.23999786376953,124.29000091552734,122.45999908447266,124.06999969482422,114.0564193725586,1879700,ACN
2017-03-02,123.98999786376953,124.43000030517578,123.55999755859375,124.3499984741211,114.31381225585938,1896600,ACN
2017-03-03,124.19999694824219,124.25,122.98999786376953,123.63999938964844,113.66111755371094,2123000,ACN
2017-03-06,122.98999786376953,123.43000030517578,122.52999877929688,123.23999786376953,113.29339599609375,1814100,ACN
2017-03-07,123.62999725341797,124.37999725341797,123.12000274658203,124.13999938964844,114.12076568603516,2705300,ACN
2017-03-08,124.11000061035156,124.79000091552734,123.77999877929688,124.45999908447266,114.4149398803711,2168600,ACN
2017-03-09,124.37000274658203,124.37000274658203,122.6500015258789,123.18000030517578,113.23824310302734,2338100,ACN
2017-03-10,123.6500015258789,124.33000183105469,123.06999969482422,123.93000030517578,113.92769622802734,1931100,ACN
2017-03-13,124.2300033569336,124.75,123.47000122070312,124.04000091552734,114.02884674072266,2233700,ACN
2017-03-14,124.16999816894531,124.7300033569336,123.62999725341797,123.91000366210938,113.90933990478516,1627800,ACN
2017-03-15,123.41000366210938,124.98999786376953,123.02999877929688,124.80000305175781,114.72750091552734,2087700,ACN
2017-03-16,124.88999938964844,125.19000244140625,123.61000061035156,124.0999984741211,114.08399200439453,2182000,ACN
2017-03-17,124.70999908447266,125.44999694824219,123.83000183105469,125.22000122070312,115.11360168457031,4603600,ACN
2017-03-20,125.22000122070312,125.38999938964844,124.16999816894531,124.38999938964844,114.35059356689453,2257400,ACN
2017-03-21,125.08000183105469,125.41000366210938,123.62999725341797,124.63999938964844,114.5804214477539,3219900,ACN
2017-03-22,125.02999877929688,126.52999877929688,124.47000122070312,126.4800033569336,116.27191162109375,4288600,ACN
2017-03-23,122.70999908447266,123.01000213623047,120.54000091552734,120.76000213623047,111.01356506347656,7116800,ACN
2017-03-24,120.77999877929688,121.30999755859375,118.76000213623047,118.9800033569336,109.37723541259766,3949800,ACN
2017-03-27,118.7300033569336,119.80000305175781,118.30000305175781,119.38999938964844,109.75414276123047,3122800,ACN
2017-03-28,119.81999969482422,122.33999633789062,119.01000213623047,121.3499984741211,111.55595397949219,5516000,ACN
2017-03-29,121.66000366210938,121.70999908447266,120.1500015258789,120.9800033569336,111.2158203125,2438900,ACN
2017-03-30,120.88999938964844,121.0,120.05000305175781,120.5199966430664,110.79293060302734,2030200,ACN
2017-03-31,120.70999908447266,121.20999908447266,119.83999633789062,119.87999725341797,110.20457458496094,2102800,ACN
2017-04-03,118.0,118.16999816894531,117.0,117.63999938964844,108.14537811279297,3917500,ACN
2017-04-04,117.27999877929688,118.06999969482422,117.27999877929688,118.04000091552734,108.51309967041016,1690600,ACN
2017-04-05,118.23999786376953,119.08999633789062,117.48999786376953,117.63999938964844,108.14537811279297,1902100,ACN
2017-04-06,117.68000030517578,117.93000030517578,116.76000213623047,116.80999755859375,107.38236999511719,2049600,ACN
2017-04-07,117.0,117.73999786376953,116.5,117.44000244140625,107.96153259277344,2408000,ACN
2017-04-10,117.5,118.55999755859375,117.37000274658203,117.83999633789062,108.32923126220703,2308300,ACN
2017-04-11,116.18000030517578,116.80000305175781,115.79000091552734,116.08000183105469,107.81838989257812,2295300,ACN
2017-04-12,116.05000305175781,116.4000015258789,115.47000122070312,115.58000183105469,107.35397338867188,2087800,ACN
2017-04-13,115.36000061035156,115.88999938964844,114.81999969482422,114.86000061035156,106.68521118164062,1838900,ACN
2017-04-17,114.87999725341797,115.7300033569336,114.87999725341797,115.72000122070312,107.48400115966797,1168300,ACN
2017-04-18,115.5,116.36000061035156,115.38999938964844,116.23999786376953,107.96698760986328,1978100,ACN
2017-04-19,116.37000274658203,117.36000061035156,116.0,116.94999694824219,108.62646484375,2185400,ACN
2017-04-20,117.6500015258789,119.86000061035156,117.37999725341797,119.20999908447266,110.72560119628906,3743500,ACN
2017-04-21,119.73999786376953,119.9800033569336,119.02999877929688,119.2300033569336,110.74420166015625,2639000,ACN
2017-04-24,119.94000244140625,120.51000213623047,119.11000061035156,119.36000061035156,110.86492919921875,2106800,ACN
2017-04-25,119.37999725341797,119.94000244140625,118.68000030517578,118.69000244140625,110.24262237548828,1947200,ACN
2017-04-26,118.7300033569336,119.45999908447266,118.4000015258789,118.9800033569336,110.5119857788086,1581400,ACN
2017-04-27,119.12000274658203,120.62000274658203,119.12000274658203,120.48999786376953,111.91449737548828,2008200,ACN
2017-04-28,120.19000244140625,121.3499984741211,120.02999877929688,121.30000305175781,112.6668701171875,2476600,ACN
2017-05-01,121.37000274658203,121.69000244140625,121.0999984741211,121.25,112.62042236328125,1931900,ACN
2017-05-02,121.29000091552734,121.70999908447266,120.20999908447266,120.68000030517578,112.09099578857422,2697100,ACN
2017-05-03,120.43000030517578,120.87000274658203,119.66999816894531,120.30000305175781,111.73805236816406,1762100,ACN
2017-05-04,120.75,120.98999786376953,120.22000122070312,120.81999969482422,112.22101593017578,1557500,ACN
2017-05-05,120.91000366210938,121.5199966430664,120.7699966430664,121.5199966430664,112.87120056152344,1716900,ACN
2017-05-08,121.0999984741211,121.5199966430664,120.76000213623047,121.11000061035156,112.49040222167969,1522100,ACN
2017-05-09,121.30000305175781,121.62999725341797,120.91000366210938,121.06999969482422,112.45323944091797,1094400,ACN
